Gene,Score
C1orf61,47.557775954705015
TSC22D4,33.348117136286305
ATP6V1F,17.856931469727087
FAM127A,11.004084879171863
SLC1A2,8.781034910878521
PSAT1,7.884474047404334
PPP1R1B,4.673634164085232
PTGDS,4.515061580836707
DIO2,3.4049080279762567
CTD-2550O8.5,3.329368496262034
SLC1A3,3.067066249639862
YBX1,3.0652073533578177
FLOT1,2.9450188716184895
AQP4,2.622104693340283
TSC22D1,2.5936425145822817
SF3B5,1.7985880959434222
GRINA,1.6792120732507225
SNN,1.5887496131889882
CDK2AP1,1.469753053383966
SNTA1,1.4418192354722659
MEA1,1.2743857358277348
RP11-691N7.6,1.2077112436620387
APOD,1.0731157094981287
S100A1,1.0659410630038586
LAPTM4A,0.7545042282136861
NAPA,0.6902003242681568
MLC1,0.6696319610685137
MT1M,0.6611564692312877
CST3,0.5043333682408593
SAT1,0.4420270451907806
GLUL,0.4247400937374448
UQCR10,0.42461007303112674
HEPACAM,0.3585925074108152
ENHO,0.33872387029381146
AGT,0.19826694821584012
S1PR1,0.18930828061048804
LGALS1,0.1657141707364083
SLC9A3R1,0.15384424179046713
S100A13,0.15210795614799383
MT1E,0.1061777948317598
CPE,0.07911638654309386
SFXN5,0.077865767550897
ALDH2,0.06886840686597606
TMEM219,0.06530556871216203
TUBB2B,0.03972638723675687
SLC25A5,0.03447617382857441
NDUFB10,0.012262193270386974
ALDH1A1,0.00950469923563395
HEPN1,0.005082218162084012
CDIP1,-0.006269937103296311
WIF1,-0.007785477328264179
EPHX1,-0.01401366188855507
CRYAB,-0.024289884263073283
S100A16,-0.030014912171053166
ZNF385A,-0.0301633460539318
PON2,-0.030163534931984967
CXCL14,-0.030335738449897853
IGFBP7,-0.03057676937601059
FGFR3,-0.030887668042878524
MT3,-0.03117270434617565
NDRG2,-0.03128419873025041
PBXIP1,-0.03152901961982947
METTL7A,-0.031639377033116166
CKB,-0.03164390264603295
VEGFB,-0.03165706081142878
GPR37L1,-0.03180173853261948
RGCC,-0.0318030418808794
PMP2,-0.03181301479323145
FBXO2,-0.03215946998259153
RHOB,-0.03218671258924483
RAMP1,-0.03230899821064118
DCXR,-0.03242373812646827
FAM213A,-0.032527344290254064
ITM2C,-0.03262314325445929
MT1F,-0.03269881667062518
CSRP1,-0.03272517285869903
S100B,-0.03297399653522047
GJB6,-0.03300912976446721
CNN3,-0.03302464303407524
GJA1,-0.03345663294964973
2-Sep,-0.03357424216688957
PRDX6,-0.03379353474951589
HIGD2A,-0.03383263099632737
ALDOC,-0.03385670958274037
PLEKHB1,-0.03400138883516393
HTRA1,-0.0341656749871292
CLU,-0.03427934508934668
DAD1,-0.03437189200112542
FAM107A,-0.03441405425646669
GLUD1,-0.03456783037784797
