Sample,Age,Fetal-Microglia,Fetal-IPC,Fetal-Pericytes,Fetal-OPC,Fetal-Endothelial,Fetal-Astrocytes,Fetal-Oligo,Fetal-Trans,Fetal-NEP,Astrocytes,Endothelial,Fetal-quiescent,Fetal-replicating,Microglia,Neurons,OPC,Oligodendrocytes
H376.VI.50_OFC,4 mos,0,0.046479211,0,0.056281805,0,0.199656284,0,0.049432566,0,0.065715697,0.036495819,0.051047914,0,0,0.434005863,0.014618156,0.046266685
H376.VI.51_OFC,4 mos,0.002581395,0.02971773,0,0,0.118340144,0.018717234,0,0.122875802,0,0.400451198,0.057747253,0.059519742,0,0,0.135201212,0.045704793,0.009143499
H376.VI.52_OFC,4 mos,0,0.014367532,0,0.001663558,0.056214268,0.159413851,0,0.185810634,0,0.087614601,0.038692892,0.038826806,0,0,0.406147201,0.011248658,0
H376.VII.51_OFC,10 mos,0,0.035784383,0,0.086564027,0.042267275,0.123254483,0,0.122833302,0,0.108093675,0.066687851,0.021971053,0,0,0.351994683,0,0.040549267
H376.VIII.51_OFC,1 yrs,0.004955517,0,0,0,0.034600687,0.065364269,0,0.134250557,0,0.05554749,0.051316224,0.033936741,0,0,0.474846336,0.040799021,0.104383157
H376.VIII.53_OFC,2 yrs,0.01260193,0,0,0,0.116095581,0.0089803,0.017498518,0.223089535,0,0.235256452,0.139402604,0.028567535,0,0,0.087340117,0,0.131167428
H376.VIII.52_OFC,3 yrs,0,0.003851027,0,0,0.108795146,0.078734868,0,0.1109037,0,0.260856355,0.126989881,0.049085568,0,0,0.19308292,0,0.067700534
H376.VIII.54_OFC,3 yrs,0,0.015337981,0,0,0.047930114,0.046377949,0,0.102400712,0,0.386945132,0.083035636,0.037663231,0,0,0.175248754,0,0.105060491
H376.VIII.50_OFC,4 yrs,0,0.041981876,0,0.0287624,0.004493461,0.139879201,0,0.015109552,0,0.139324344,0.062166648,0.047116442,0,0,0.400871617,0.019880203,0.100414255
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
